CD4-negative, CD8-negative type I NK T cell secreting interferon-gamma	cell_phenotype	CL:0000929
CD4-negative, CD8-negative type I NK T cell secreting interleukin-4	cell_phenotype	CL:0000930
CD4-negative, CD8-negative type I NK T lymphocyte	cell_phenotype	CL:0000924
CD4-negative, CD8-negative type I NK T lymphocyte secreting interferon-gamma	cell_phenotype	CL:0000929
CD4-negative, CD8-negative type I NK T lymphocyte secreting interleukin-4	cell_phenotype	CL:0000930
CD4-negative, CD8-negative type I NK T-cell	cell_phenotype	CL:0000924
CD4-negative, CD8-negative type I NK T-cell secreting interferon-gamma	cell_phenotype	CL:0000929
CD4-negative, CD8-negative type I NK T-cell secreting interleukin-4	cell_phenotype	CL:0000930
CD4-negative, CD8-negative type I NK T-lymphocyte	cell_phenotype	CL:0000924
CD4-negative, CD8-negative type I NK T-lymphocyte secreting interferon-gamma	cell_phenotype	CL:0000929
CD4-negative, CD8-negative type I NK T-lymphocyte secreting interleukin-4	cell_phenotype	CL:0000930
CD4-negative, CD8-negative type I NKT cell	cell_phenotype	CL:0000924
CD4-negative, CD8-negative type I NKT cell secreting interferon-gamma	cell_phenotype	CL:0000929
CD4-negative, CD8-negative type I NKT cell secreting interleukin-4	cell_phenotype	CL:0000930
CD4-negative, CD8-negative, alpha-beta intraepithelial T cell	cell_phenotype	CL:0000935
CD4-negative, CD8-negative, alpha-beta intraepithelial T lymphocyte	cell_phenotype	CL:0000935
CD4-negative, CD8-negative, alpha-beta intraepithelial T-cell	cell_phenotype	CL:0000935
CD4-negative, CD8-negative, alpha-beta intraepithelial T-lymphocyte	cell_phenotype	CL:0000935
CD4-negative, CD8-negative, alpha-beta regulatory T cells	cell_phenotype	CL:0011024
CD4-positive CD11b-positive dendritic cell	cell_phenotype	CL:0000999
CD4-positive T-helper cell	cell_phenotype	CL:0000492
CD4-positive TEMRA	cell_phenotype	CL:0001087
CD4-positive helper T cell	cell_phenotype	CL:0000492
CD4-positive helper T lymphocyte	cell_phenotype	CL:0000492
CD4-positive helper T-cell	cell_phenotype	CL:0000492
CD4-positive helper T-lymphocyte	cell_phenotype	CL:0000492
CD4-positive type I NK T cell	cell_phenotype	CL:0000923
CD4-positive type I NK T cell secreting IFN-gamma	cell_phenotype	CL:0000926
CD4-positive type I NK T cell secreting IL-4	cell_phenotype	CL:0000927
CD4-positive type I NK T cell secreting interferon-gamma	cell_phenotype	CL:0000926
CD4-positive type I NK T cell secreting interleukin-4	cell_phenotype	CL:0000927
CD4-positive type I NK T lymphocyte	cell_phenotype	CL:0000923
CD4-positive type I NK T lymphocyte secreting interferon-gamma	cell_phenotype	CL:0000926
CD4-positive type I NK T lymphocyte secreting interleukin-4	cell_phenotype	CL:0000927
CD4-positive type I NK T-cell	cell_phenotype	CL:0000923
CD4-positive type I NK T-cell secreting interferon-gamma	cell_phenotype	CL:0000926
CD4-positive type I NK T-cell secreting interleukin-4	cell_phenotype	CL:0000927
