CD56-negative, CD161-positive immature natural killer cell, human	CL:0002344
CD56-positive, CD161-positive immature natural killer cell, human	CL:0002338
CD69-positive double-positive thymocyte	CL:0002429
CD69-positive, CD4-positive single-positive thymocyte	CL:0002433
CD69-positive, CD8-positive single-positive thymocyte	CL:0002435
CD7-negative lymphoid precursor	CL:0001027
CD7-negative lymphoid progenitor OR granulocyte monocyte progenitor	CL:0001012
CD7-negative lymphoid progenitor cell	CL:0001027
CD7-positive lymphoid precursor	CL:0001028
CD7-positive lymphoid progenitor cell	CL:0001028
CD71-low, GlyA-positive polychromatic erythroblast	CL:0002016
CD71-negative, GlyA-positive orthochromatic erythroblast	CL:0002018
CD8+ T(reg)	CL:0000795
CD8+ TEMRA	CL:0001062
CD8+ Treg	CL:0000795
CD8+ regulatory T cell	CL:0000795
CD8+CD25+ T cell	CL:0000919
CD8+CD25+ T lymphocyte	CL:0000919
CD8+CD25+ T(reg)	CL:0000919
CD8+CD25+ T-cell	CL:0000919
CD8+CD25+ T-lymphocyte	CL:0000919
CD8+CD25+ Treg	CL:0000919
CD8+CD28- T cell	CL:0000920
CD8+CD28- T lymphocyte	CL:0000920
CD8+CD28- T(reg)	CL:0000920
CD8+CD28- T-cell	CL:0000920
CD8+CD28- T-lymphocyte	CL:0000920
CD8+CD28- Treg	CL:0000920
CD8+CXCR3+ T cell	CL:0001041
CD8+CXCR3+ T lymphocyte	CL:0001041
CD8+CXCR3+ T(reg)	CL:0001041
CD8+CXCR3+ T-cell	CL:0001041
CD8+CXCR3+ Treg	CL:0001041
CD8-alpha alpha positive, gamma-delta intraepithelial T cell	CL:0000802
CD8-alpha-alpha-positive, alpha-beta intraepithelial T cell	CL:0000915
CD8-alpha-alpha-positive, alpha-beta intraepithelial T lymphocyte	CL:0000915
CD8-alpha-alpha-positive, alpha-beta intraepithelial T-cell	CL:0000915
CD8-alpha-alpha-positive, alpha-beta intraepithelial T-lymphocyte	CL:0000915
CD8-alpha-beta-positive, alpha-beta intraepithelial T cell	CL:0000796
CD8-positive T(reg)	CL:0000795
CD8-positive TEMRA	CL:0001062
CD8-positive Th1 cell	CL:0000917
CD8-positive Th17 cell	CL:0002128
CD8-positive Th2 cell	CL:0000918
CD8-positive Treg	CL:0000795
CD8-positive, CD25-positive Treg	CL:0000919
CD8-positive, CD25-positive, alpha-beta regulatory T cell	CL:0000919
CD8-positive, CD25-positive, alpha-beta regulatory T lymphocyte	CL:0000919
CD8-positive, CD25-positive, alpha-beta regulatory T-cell	CL:0000919
CD8-positive, CD25-positive, alpha-beta regulatory T-lymphocyte	CL:0000919
CD8-positive, CD28-negative T(reg)	CL:0000920
CD8-positive, CD28-negative Treg	CL:0000920
CD8-positive, CD28-negative, alpha-beta regulatory T cell	CL:0000920
CD8-positive, CD28-negative, alpha-beta regulatory T lymphocyte	CL:0000920
CD8-positive, CD28-negative, alpha-beta regulatory T-cell	CL:0000920
CD8-positive, CD28-negative, alpha-beta regulatory T-lymphocyte	CL:0000920
CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T cell	CL:0001052
CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T lymphocyte	CL:0001052
CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T-cell	CL:0001052
CD8-positive, CXCR3-negative, CCR6-negative, alpha-beta T-lymphocyte	CL:0001052
CD8-positive, CXCR3-positive, T(reg)	CL:0001041
CD8-positive, CXCR3-positive, Treg	CL:0001041
CD8-positive, CXCR3-positive, alpha-beta regulatory T cell	CL:0001041
CD8-positive, CXCR3-positive, alpha-beta regulatory T lymphocyte	CL:0001041
CD8-positive, CXCR3-positive, alpha-beta regulatory T-cell	CL:0001041
CD8-positive, CXCR3-positive, alpha-beta regulatory T-lymphocyte	CL:0001041
CD8-positive, alpha-beta T cell	CL:0000625
CD8-positive, alpha-beta T lymphocyte	CL:0000625
CD8-positive, alpha-beta T-cell	CL:0000625
CD8-positive, alpha-beta T-lymphocyte	CL:0000625
CD8-positive, alpha-beta Treg	CL:0000795
CD8-positive, alpha-beta cytokine secreting effector T cell	CL:0000908
CD8-positive, alpha-beta cytokine secreting effector T lymphocyte	CL:0000908
CD8-positive, alpha-beta cytokine secreting effector T-cell	CL:0000908
CD8-positive, alpha-beta cytokine secreting effector T-lymphocyte	CL:0000908
CD8-positive, alpha-beta cytotoxic T cell	CL:0000794
CD8-positive, alpha-beta cytotoxic T lymphocyte	CL:0000794
CD8-positive, alpha-beta cytotoxic T-cell	CL:0000794
CD8-positive, alpha-beta cytotoxic T-lymphocyte	CL:0000794
CD8-positive, alpha-beta immature T lymphocyte	CL:0000811
CD8-positive, alpha-beta immature T-cell	CL:0000811
CD8-positive, alpha-beta immature T-lymphocyte	CL:0000811
CD8-positive, alpha-beta intraepithelial T lymphocyte	CL:0000796
CD8-positive, alpha-beta intraepithelial T-cell	CL:0000796
CD8-positive, alpha-beta intraepithelial T-lymphocyte	CL:0000796
CD8-positive, alpha-beta memory T cell	CL:0000909
CD8-positive, alpha-beta memory T cell, CD45RO-positive	CL:0001203
CD8-positive, alpha-beta memory T lymphocyte	CL:0000909
